日付,新規陽性患者数,うち感染経路判明,うち感染経路不明,退院・回復者数,死亡者数（発表日時点）,検査実施人数（他機関分含む）
2020/2/28,1,1,0,0,0,9
2020/2/27,2,2,0,0,0,11
2020/2/26,5,5,0,0,0,17
2020/2/25,3,3,0,0,0,10
2020/2/24,0,0,0,0,0,1
2020/2/23,2,2,0,0,0,4
2020/2/22,4,4,0,0,0,19
2020/2/21,2,2,0,0,0,10
2020/2/20,1,1,0,0,0,6
2020/2/19,1,1,0,0,0,7
2020/2/18,0,0,0,0,0,3
2020/2/17,0,0,0,0,0,6
2020/2/16,0,0,0,0,0,0
2020/2/15,1,1,0,0,0,7
2020/2/14,1,0,1,0,0,1
2020/2/8,0,0,0,0,0,1
